source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,radial_velocity,radial_velocity_error,ruwe,phot_g_mean_mag,b,l
5308099885870727424,149.2566028177041,-55.19179447278974,2.1885859636200156,0.014053833,2.268850371691109,0.015226745,-1.402192376392895,0.016900778,26.528887,0.1650845,0.9426791,8.842046,-0.37287683307809727,279.7479077414005
5299174772016995328,141.6228603762504,-60.801847662003574,1.920272571343503,0.011999062,-12.652207252262652,0.014413793,1.51732922312302,0.012515746,52.453,0.12224208,0.87719965,8.842777,-7.250800526297914,280.38454180755275
6054136117531976704,183.45591589832182,-63.61878491415969,0.853410116575447,0.03362637,-2.364624731485521,0.032675847,-4.1045999970025395,0.031204429,22.322994,0.19332397,0.9584301,8.842791,-1.0515524718393898,298.76789429192837
5252921478955303296,155.26817390572467,-63.03154166702037,5.6774609887050085,0.013205054,-48.53545541069931,0.013928929,12.327543007660834,0.0145437615,8.296639,0.53941596,0.89571726,8.842817,-4.967197980171446,286.8095860613161
5352983393624664448,161.9417949883464,-55.27375472761323,1.0109839215153102,0.012459088,0.3496026153490807,0.014129782,-1.8515693227066645,0.012773271,3.075872,0.1491987,0.8593924,8.842894,3.4502630375427317,285.88083445594947
5337891703199364096,165.77460937416612,-61.89088165339289,0.5245377491797094,0.018426992,-6.943152856632251,0.020592557,2.05385120088231,0.017079018,-18.750233,0.47521332,0.96012646,8.8429165,-1.654186078118129,290.53929034862585
5333637001177111680,173.74008271752535,-63.278045528966004,0.7634410537723826,0.018616207,-10.555060753233054,0.020040868,1.0054267219163742,0.020025669,36.276207,0.18820259,0.94508153,8.843115,-1.6713578194588938,294.4588958669963
5360503915708206976,160.657051583705,-51.95908922972755,1.5639535740935422,0.015177056,-12.903814425951897,0.015318223,3.2654891700387108,0.013704088,23.283997,1.1144577,0.81490195,8.843237,6.024138779395861,283.64998672379096
5343331090282502528,172.43593889785765,-55.877568630446554,1.7602431002648478,0.011980472,2.6126724913084898,0.011578735,13.953925013895606,0.010280284,-44.031704,0.12137482,0.83648276,8.843251,5.1857565668418,291.59624942281346
5298099861952295680,136.75498386030284,-62.18341514734433,0.713775770800207,0.013926901,-9.575582283423008,0.019403564,7.410981720874201,0.01744568,3.8232372,0.16921754,1.0225654,8.843431,-9.885798648074664,279.77956172204904
5308086966606752640,148.40334245653793,-55.26400608098918,0.8060936013564399,0.015022866,-10.048490879370702,0.01857775,4.135911472065389,0.015028555,17.708204,0.17604026,0.9541969,8.84348,-0.7306357532831628,279.4102159837261
5256411947341433984,152.15741696107267,-60.902778226220214,3.0131135920683176,0.019485297,-10.060866654838048,0.02305113,-1.7466957123025217,0.022431787,10.333963,3.659442,1.0500318,8.843642,-4.032949138576332,284.39525830338977
5344609959734511232,176.48737260993835,-53.315817254633515,2.07828298456596,0.021046106,-14.791398721012415,0.01763345,1.0405612221173959,0.016882004,4.246345,1.396079,1.0422679,8.843701,8.305508256412738,293.1337701108981
5411078804883303808,147.90246620435016,-47.93864873986729,2.251345828108544,0.013984179,-3.809514735075191,0.013315355,-1.8712436113222408,0.012649057,18.787642,0.15036318,1.0238341,8.8437395,4.782682016989198,274.5720759657029
5405337464406987136,150.22873094844226,-50.626008069371025,0.9225163500109053,0.012629437,-1.8174164067264087,0.014821686,-0.10585074455665003,0.014042412,-5.532406,0.17611851,0.9310627,8.843819,3.606448935885256,277.43265956454843
5333229670813206016,175.65193297675245,-63.228521933095244,1.079446239166108,0.013314615,-17.141329230543498,0.013546067,0.778776036090725,0.014585016,-12.378632,0.14240383,0.9271146,8.844089,-1.3849990271591088,295.27203496435897
5341039123939140224,166.02076489751775,-55.77113316300105,1.92532079678228,0.012790349,-19.10217336356831,0.012963722,4.9697229710117306,0.012280103,-0.75652814,0.13215694,0.9226023,8.844244,3.995954239368607,288.18341573406707
5860841286202244992,184.12367460598793,-65.57293105974388,1.2309829468194464,0.014085328,-14.793759233089142,0.013554581,-6.141165753014299,0.0150092505,36.48453,0.14359847,0.86691546,8.844382,-2.9461075690146403,299.32620034734896
5344224890146301824,179.94508762444656,-55.04134943087101,0.8687668881955829,0.02408085,-15.905709388336977,0.021517254,0.0801116311900817,0.022450674,-7.7629514,0.18404542,1.0654167,8.844382,7.085023852116836,295.5175304534273
5414125242361385600,154.68721203275734,-44.93823073879003,1.5295167140802381,0.012559505,-3.2660748556785673,0.011915154,-0.7460145661587476,0.01299699,9.80874,0.24196698,1.0477173,8.844445,9.973504913838154,276.5600516299363
5343305698434228992,173.3699341969062,-55.715867323053466,0.6093002582077729,0.02911604,-7.052959775087579,0.02745251,1.6447018603892951,0.026800156,12.733728,0.29290473,1.0687094,8.844483,5.499921243391213,292.04887845828415
5337819719553964800,168.2057312328549,-59.40694689458633,1.4199125793208078,0.01259571,-2.7025786650350665,0.013488197,2.2911907970070007,0.0133592505,-9.08924,0.17784736,0.90602195,8.844741,1.0971090653155495,290.67277491082586
5854812388999707008,182.9084119340348,-71.17670684877537,9.465599873776393,0.012865221,-38.77740828335885,0.014056934,-7.340726144832834,0.013039512,14.255378,0.6942406,0.8239649,8.844763,-8.55518119922057,299.69965961843224
5251940332300347392,159.66477048702933,-63.572851868523394,0.9324955008604432,0.012305396,-7.244519435696912,0.014952124,3.119705587024608,0.0145341735,2.3808317,0.14328161,0.9714053,8.844909,-4.408875847144306,288.7863083182198
5348541297915987840,169.4541718416509,-51.94311638499314,3.0145688095314354,0.011581833,-23.481102609889657,0.011282956,-7.3254397994382785,0.0108312415,68.25623,0.15167353,0.9171362,8.845286,8.305078079421271,288.6042566691444
5341449516668647296,179.70368068108317,-59.18136255859631,1.419981343592748,0.014779725,-16.58974623782923,0.012937672,-0.7460596394065069,0.0133492565,0.22167061,0.15571746,1.0009075,8.845692,3.003565163256159,296.2264928797077
5245263964567539328,156.23275041783947,-66.021121714069,0.5925610108986934,0.026683051,-4.33160900446802,0.03245451,2.604434422329704,0.02954287,8.701893,0.38854268,0.8931276,8.846108,-7.259243964961862,288.78453809397354
5365692511066022400,157.16487123634732,-46.75017509047324,1.3353326036919924,0.016151033,-10.173077877285372,0.015002461,4.765567429282239,0.014972276,22.831917,0.13047738,1.0788916,8.846208,9.387918204877154,279.0278864258806
