bin_index,R_min,R_max,R_center,n_stars,volume_kpc3,density_stars_kpc3,v_circ_mean,v_circ_std,v_circ_median,v_R_mean,v_R_std,v_tangential_mean,v_tangential_std,v_total_mean,v_total_std,sigma_v_mean,sigma_v_median,z_mean,z_std,z_median,z_abs_mean,mag_mean,mag_std,mag_median,v_circ_km_s,density_relative,dv_dr
1,2,4,3.0,5,18.84955592153876,0.2652582384864922,,,,,,,,,,,,,,,,,,,,0.00017590974657269174,
2,4,6,5.0,763,31.41592653589793,24.28704431582323,54.7880383004844,54.014626540308285,39.02554405687965,-11.168315028078638,47.834653835032746,54.7880383004844,54.014626540308285,69.15398573315686,59.56297224802347,0.7415982433255032,0.5626186580742409,-0.15914302496433363,0.20017773983807097,-0.1579900821352334,0.20721371451255466,9.917267155307995,0.6085179205112129,10.102892,54.7880383004844,0.01610629639619566,
3,6,8,7.0,55270,43.982297150257104,1256.6419578127222,37.091439425384436,28.587018113057297,29.674364440125494,-10.419829930064836,30.418507891835002,37.091439425384436,28.587018113057297,47.691553047387174,30.86020792398922,0.6173097836148601,0.25513814947664626,-0.013086970037094291,0.10365140511582957,-0.01108832723864325,0.07714829913554919,9.454610082332188,0.8223897933767275,9.689698,37.091439425384436,0.8333598594062291,-6.1215576610282945
4,8,10,9.0,85271,56.548667764616276,1507.9223502654454,30.301807656371224,22.10411082213295,25.16645111918276,3.0883883989339798,33.14484152896225,30.301807656371224,22.10411082213295,42.48822387656921,26.63926549668011,0.6250325580396316,0.23198602306682178,-0.00314914766082326,0.08475577645152768,-0.0015773259834807902,0.05733621320631048,9.41547086820607,0.9381724761405127,9.676107,30.301807656371224,1.0,-1.160035019525381
5,10,12,11.0,2549,69.11503837897544,36.88054090374921,32.45129934728291,26.66220523179512,26.378570275935562,13.407510951708124,46.12789439454491,32.45129934728291,26.66220523179512,55.20114163161508,31.99415439163588,0.5776957119528908,0.4559605574616788,0.047645853582789804,0.24730715045048757,0.047389371572686495,0.2078118561536108,9.89652319270302,0.7559289918647383,10.1208935,32.45129934728291,0.024457851491661346,-1.006245487507444
6,12,14,13.0,139,81.68140899333463,1.7017336222902655,26.276825706341448,23.257513161090195,21.434313738061803,17.95851999280576,45.22645927313268,26.276825706341448,23.257513161090195,50.527885795023785,32.172927299599095,0.8430386212464149,0.7044073742116994,0.1574435351380068,0.3285105013364793,0.22079063184553047,0.30506673600611267,10.044125791366906,0.5688828693956766,10.1670265,26.276825706341448,0.0011285286818586533,
7,14,16,15.0,2,94.24777960769379,0.02122065907891938,,,,,,,,,,,,,,,,,,,,1.4072779725815342e-05,
8,16,18,17.0,1,106.81415022205297,0.009362055475993843,,,,,,,,,,,,,,,,,,,,6.208579290800885e-06,
